#                                                          
# SPHERE/IRDIS NB N_CO filter transmission                 
#                                                          
# Updated with final values on 2015-04-16 by Arthur Vigan  
# For any information, please contact <arthur.vigan@lam.fr>
#                                                          
# wavelength   N_CO                                        
#                                                          
       497.0   0.000000008
       498.0   0.000000037
       499.0   0.000000017
       500.0   0.000000171
       501.0   0.000000579
       502.0   0.000000825
       503.0   0.000000495
       504.0   0.000000145
       505.0   0.000000075
       506.0   0.000000000
       507.0   0.000000029
       508.0   0.000000158
       509.0   0.000000100
       510.0   0.000000040
       511.0   0.000000010
       512.0   0.000000000
       513.0   0.000000000
       514.0   0.000000000
       515.0   0.000000000
       516.0   0.000000000
       517.0   0.000000000
       518.0   0.000000000
       519.0   0.000000001
       520.0   0.000000005
       521.0   0.000000000
       522.0   0.000000000
       523.0   0.000000000
       524.0   0.000000000
       525.0   0.000000000
       526.0   0.000000000
       527.0   0.000000000
       528.0   0.000000000
       529.0   0.000000000
       530.0   0.000000000
       531.0   0.000000002
       532.0   0.000000009
       533.0   0.000000000
       534.0   0.000000000
       535.0   0.000000000
       536.0   0.000000006
       537.0   0.000000029
       538.0   0.000000000
       539.0   0.000000002
       540.0   0.000000002
       541.0   0.000000007
       542.0   0.000000005
       543.0   0.000000022
       544.0   0.000000000
       545.0   0.000000000
       546.0   0.000000000
       547.0   0.000000002
       548.0   0.000000008
       549.0   0.000000000
       550.0   0.000000000
       551.0   0.000000000
       552.0   0.000000000
       553.0   0.000000009
       554.0   0.000000043
       555.0   0.000000026
       556.0   0.000000127
       557.0   0.000000000
       558.0   0.000000000
       559.0   0.000000000
       560.0   0.000000000
       561.0   0.000000000
       562.0   0.000000000
       563.0   0.000000002
       564.0   0.000000008
       565.0   0.000000014
       566.0   0.000000066
       567.0   0.000000000
       568.0   0.000000000
       569.0   0.000000000
       570.0   0.000000000
       571.0   0.000000010
       572.0   0.000000085
       573.0   0.000000179
       574.0   0.000000000
       575.0   0.000000000
       576.0   0.000000000
       577.0   0.000000004
       578.0   0.000000021
       579.0   0.000000000
       580.0   0.000000000
       581.0   0.000000000
       582.0   0.000000000
       583.0   0.000000000
       584.0   0.000000000
       585.0   0.000000000
       586.0   0.000000009
       587.0   0.000000042
       588.0   0.000000000
       589.0   0.000000000
       590.0   0.000000001
       591.0   0.000000000
       592.0   0.000000000
       593.0   0.000000000
       594.0   0.000000007
       595.0   0.000000032
       596.0   0.000000000
       597.0   0.000000000
       598.0   0.000000000
       599.0   0.000000000
       600.0   0.000000000
       601.0   0.000000000
       602.0   0.000000000
       603.0   0.000000000
       604.0   0.000000000
       605.0   0.000000000
       606.0   0.000000000
       607.0   0.000000000
       608.0   0.000000000
       609.0   0.000000000
       610.0   0.000000000
       611.0   0.000000000
       612.0   0.000000000
       613.0   0.000000000
       614.0   0.000000000
       615.0   0.000000000
       616.0   0.000000000
       617.0   0.000000000
       618.0   0.000000000
       619.0   0.000000000
       620.0   0.000000000
       621.0   0.000000000
       622.0   0.000000000
       623.0   0.000000000
       624.0   0.000000000
       625.0   0.000000000
       626.0   0.000000000
       627.0   0.000000000
       628.0   0.000000007
       629.0   0.000000039
       630.0   0.000000022
       631.0   0.000000030
       632.0   0.000000028
       633.0   0.000000000
       634.0   0.000000000
       635.0   0.000000000
       636.0   0.000000010
       637.0   0.000000064
       638.0   0.000000220
       639.0   0.000001108
       640.0   0.000002921
       641.0   0.000004145
       642.0   0.000003450
       643.0   0.000002140
       644.0   0.000001809
       645.0   0.000002100
       646.0   0.000002892
       647.0   0.000004207
       648.0   0.000005985
       649.0   0.000006656
       650.0   0.000005734
       651.0   0.000004114
       652.0   0.000003202
       653.0   0.000003072
       654.0   0.000002911
       655.0   0.000003376
       656.0   0.000004231
       657.0   0.000005355
       658.0   0.000006571
       659.0   0.000006785
       660.0   0.000006274
       661.0   0.000005464
       662.0   0.000004279
       663.0   0.000003395
       664.0   0.000002815
       665.0   0.000002822
       666.0   0.000002835
       667.0   0.000003057
       668.0   0.000003367
       669.0   0.000003969
       670.0   0.000005049
       671.0   0.000006593
       672.0   0.000008511
       673.0   0.000010357
       674.0   0.000010683
       675.0   0.000009331
       676.0   0.000007233
       677.0   0.000005336
       678.0   0.000003704
       679.0   0.000002599
       680.0   0.000001285
       681.0   0.000000503
       682.0   0.000000252
       683.0   0.000000182
       684.0   0.000000059
       685.0   0.000000143
       686.0   0.000000000
       687.0   0.000000000
       688.0   0.000000000
       689.0   0.000000010
       690.0   0.000000051
       691.0   0.000000028
       692.0   0.000000195
       693.0   0.000000331
       694.0   0.000000295
       695.0   0.000000296
       696.0   0.000000281
       697.0   0.000000252
       698.0   0.000000009
       699.0   0.000000042
       700.0   0.000000000
       701.0   0.000000021
       702.0   0.000000102
       703.0   0.000000000
       704.0   0.000000004
       705.0   0.000000017
       706.0   0.000000000
       707.0   0.000000000
       708.0   0.000000000
       709.0   0.000000000
       710.0   0.000000009
       711.0   0.000000042
       712.0   0.000000000
       713.0   0.000000000
       714.0   0.000000005
       715.0   0.000000027
       716.0   0.000000021
       717.0   0.000000001
       718.0   0.000000007
       719.0   0.000000000
       720.0   0.000000000
       721.0   0.000000008
       722.0   0.000000039
       723.0   0.000000000
       724.0   0.000000000
       725.0   0.000000010
       726.0   0.000000048
       727.0   0.000000000
       728.0   0.000000000
       729.0   0.000000000
       730.0   0.000000000
       731.0   0.000000000
       732.0   0.000000000
       733.0   0.000000003
       734.0   0.000000024
       735.0   0.000000055
       736.0   0.000000067
       737.0   0.000000078
       738.0   0.000000059
       739.0   0.000000000
       740.0   0.000000000
       741.0   0.000000000
       742.0   0.000000000
       743.0   0.000000000
       744.0   0.000000000
       745.0   0.000000000
       746.0   0.000000001
       747.0   0.000000004
       748.0   0.000000010
       749.0   0.000000027
       750.0   0.000000024
       751.0   0.000000024
       752.0   0.000000036
       753.0   0.000000000
       754.0   0.000000000
       755.0   0.000000000
       756.0   0.000000000
       757.0   0.000000000
       758.0   0.000000000
       759.0   0.000000000
       760.0   0.000000000
       761.0   0.000000000
       762.0   0.000000000
       763.0   0.000000000
       764.0   0.000000000
       765.0   0.000000000
       766.0   0.000000000
       767.0   0.000000002
       768.0   0.000000102
       769.0   0.000000787
       770.0   0.000002365
       771.0   0.000004921
       772.0   0.000006693
       773.0   0.000006303
       774.0   0.000004220
       775.0   0.000002014
       776.0   0.000000593
       777.0   0.000000250
       778.0   0.000000040
       779.0   0.000000000
       780.0   0.000000000
       781.0   0.000000000
       782.0   0.000000000
       783.0   0.000000000
       784.0   0.000000000
       785.0   0.000000017
       786.0   0.000000088
       787.0   0.000000035
       788.0   0.000000000
       789.0   0.000000032
       790.0   0.000000156
       791.0   0.000000000
       792.0   0.000000000
       793.0   0.000000000
       794.0   0.000000023
       795.0   0.000000113
       796.0   0.000000000
       797.0   0.000000015
       798.0   0.000000073
       799.0   0.000000000
       800.0   0.000000000
       801.0   0.000000000
       802.0   0.000000000
       803.0   0.000000000
       804.0   0.000000000
       805.0   0.000000000
       806.0   0.000000026
       807.0   0.000000129
       808.0   0.000000000
       809.0   0.000000000
       810.0   0.000000000
       811.0   0.000000000
       812.0   0.000000024
       813.0   0.000000134
       814.0   0.000000074
       815.0   0.000000000
       816.0   0.000000000
       817.0   0.000000000
       818.0   0.000000004
       819.0   0.000000019
       820.0   0.000000006
       821.0   0.000000027
       822.0   0.000000025
       823.0   0.000000155
       824.0   0.000000181
       825.0   0.000000140
       826.0   0.000000092
       827.0   0.000000312
       828.0   0.000000430
       829.0   0.000000314
       830.0   0.000000311
       831.0   0.000000474
       832.0   0.000000635
       833.0   0.000000337
       834.0   0.000000496
       835.0   0.000000891
       836.0   0.000000871
       837.0   0.000001671
       838.0   0.000003433
       839.0   0.000005464
       840.0   0.000005826
       841.0   0.000003971
       842.0   0.000002525
       843.0   0.000001458
       844.0   0.000000886
       845.0   0.000000586
       846.0   0.000000111
       847.0   0.000000608
       848.0   0.000000318
       849.0   0.000000000
       850.0   0.000000015
       851.0   0.000000237
       852.0   0.000000791
       853.0   0.000000000
       854.0   0.000000077
       855.0   0.000000437
       856.0   0.000000313
       857.0   0.000000047
       858.0   0.000000245
       859.0   0.000000088
       860.0   0.000000301
       861.0   0.000001221
       862.0   0.000000098
       863.0   0.000000635
       864.0   0.000001000
       865.0   0.000001170
       866.0   0.000000352
       867.0   0.000000636
       868.0   0.000000000
       869.0   0.000000034
       870.0   0.000000272
       871.0   0.000000697
       872.0   0.000000953
       873.0   0.000000739
       874.0   0.000000488
       875.0   0.000000213
       876.0   0.000001042
       877.0   0.000000000
       878.0   0.000000443
       879.0   0.000002935
       880.0   0.000003767
       881.0   0.000000049
       882.0   0.000000239
       883.0   0.000000190
       884.0   0.000001029
       885.0   0.000001062
       886.0   0.000002719
       887.0   0.000000000
       888.0   0.000000468
       889.0   0.000002909
       890.0   0.000003059
       891.0   0.000000000
       892.0   0.000001757
       893.0   0.000010332
       894.0   0.000009835
       895.0   0.000006274
       896.0   0.000002212
       897.0   0.000012757
       898.0   0.000010592
       899.0   0.000007304
       900.0   0.000012313
       901.0   0.000005905
       902.0   0.000001681
       903.0   0.000008824
       904.0   0.000006166
       905.0   0.000017387
       906.0   0.000009773
       907.0   0.000000680
       908.0   0.000004092
       909.0   0.000006328
       910.0   0.000013945
       911.0   0.000008376
       912.0   0.000008161
       913.0   0.000002664
       914.0   0.000000473
       915.0   0.000003054
       916.0   0.000005166
       917.0   0.000009130
       918.0   0.000009137
       919.0   0.000007878
       920.0   0.000013656
       921.0   0.000007279
       922.0   0.000010196
       923.0   0.000006084
       924.0   0.000014218
       925.0   0.000009519
       926.0   0.000002864
       927.0   0.000005710
       928.0   0.000014372
       929.0   0.000022989
       930.0   0.000004148
       931.0   0.000011479
       932.0   0.000008531
       933.0   0.000011389
       934.0   0.000015131
       935.0   0.000015289
       936.0   0.000008678
       937.0   0.000013632
       938.0   0.000011804
       939.0   0.000011595
       940.0   0.000006638
       941.0   0.000014869
       942.0   0.000023088
       943.0   0.000007829
       944.0   0.000007533
       945.0   0.000007981
       946.0   0.000007399
       947.0   0.000004589
       948.0   0.000012115
       949.0   0.000020726
       950.0   0.000022511
       951.0   0.000008569
       952.0   0.000014509
       953.0   0.000013769
       954.0   0.000018055
       955.0   0.000014430
       956.0   0.000012470
       957.0   0.000018795
       958.0   0.000009577
       959.0   0.000014267
       960.0   0.000018865
       961.0   0.000018811
       962.0   0.000013856
       963.0   0.000008775
       964.0   0.000003358
       965.0   0.000010400
       966.0   0.000009983
       967.0   0.000011565
       968.0   0.000007194
       969.0   0.000004900
       970.0   0.000006490
       971.0   0.000015153
       972.0   0.000010612
       973.0   0.000012482
       974.0   0.000008706
       975.0   0.000020644
       976.0   0.000014360
       977.0   0.000019125
       978.0   0.000004029
       979.0   0.000011035
       980.0   0.000012128
       981.0   0.000014807
       982.0   0.000013436
       983.0   0.000012590
       984.0   0.000002304
       985.0   0.000014562
       986.0   0.000018153
       987.0   0.000010671
       988.0   0.000010293
       989.0   0.000014809
       990.0   0.000008873
       991.0   0.000018372
       992.0   0.000008077
       993.0   0.000006764
       994.0   0.000008340
       995.0   0.000012360
       996.0   0.000010119
       997.0   0.000014074
       998.0   0.000007515
       999.0   0.000007620
      1000.0   0.000010556
      1001.0   0.000016387
      1002.0   0.000006022
      1003.0   0.000011661
      1004.0   0.000006648
      1005.0   0.000006639
      1006.0   0.000013200
      1007.0   0.000005861
      1008.0   0.000007477
      1009.0   0.000011399
      1010.0   0.000014126
      1011.0   0.000010354
      1012.0   0.000008434
      1013.0   0.000009103
      1014.0   0.000004479
      1015.0   0.000001759
      1016.0   0.000009777
      1017.0   0.000007525
      1018.0   0.000008465
      1019.0   0.000002184
      1020.0   0.000009659
      1021.0   0.000011545
      1022.0   0.000017547
      1023.0   0.000023167
      1024.0   0.000018837
      1025.0   0.000006443
      1026.0   0.000022524
      1027.0   0.000018504
      1028.0   0.000009618
      1029.0   0.000019286
      1030.0   0.000024896
      1031.0   0.000021783
      1032.0   0.000017842
      1033.0   0.000018272
      1034.0   0.000017212
      1035.0   0.000025608
      1036.0   0.000025369
      1037.0   0.000013898
      1038.0   0.000015235
      1039.0   0.000014381
      1040.0   0.000011654
      1041.0   0.000015831
      1042.0   0.000012770
      1043.0   0.000017024
      1044.0   0.000024885
      1045.0   0.000013663
      1046.0   0.000010687
      1047.0   0.000009208
      1048.0   0.000003014
      1049.0   0.000018001
      1050.0   0.000019929
      1051.0   0.000020134
      1052.0   0.000007902
      1053.0   0.000011768
      1054.0   0.000014332
      1055.0   0.000016350
      1056.0   0.000007936
      1057.0   0.000002614
      1058.0   0.000014991
      1059.0   0.000013357
      1060.0   0.000013770
      1061.0   0.000010443
      1062.0   0.000011304
      1063.0   0.000014160
      1064.0   0.000014596
      1065.0   0.000015348
      1066.0   0.000015552
      1067.0   0.000010464
      1068.0   0.000007000
      1069.0   0.000010427
      1070.0   0.000016745
      1071.0   0.000024678
      1072.0   0.000010069
      1073.0   0.000007518
      1074.0   0.000009405
      1075.0   0.000007474
      1076.0   0.000016431
      1077.0   0.000003271
      1078.0   0.000010988
      1079.0   0.000018748
      1080.0   0.000007028
      1081.0   0.000010569
      1082.0   0.000003614
      1083.0   0.000009381
      1084.0   0.000006758
      1085.0   0.000009191
      1086.0   0.000011394
      1087.0   0.000011570
      1088.0   0.000012715
      1089.0   0.000010392
      1090.0   0.000006394
      1091.0   0.000016657
      1092.0   0.000008324
      1093.0   0.000008808
      1094.0   0.000005331
      1095.0   0.000004359
      1096.0   0.000005029
      1097.0   0.000009660
      1098.0   0.000003649
      1099.0   0.000008366
      1100.0   0.000000561
      1101.0   0.000004486
      1102.0   0.000010614
      1103.0   0.000010639
      1104.0   0.000004274
      1105.0   0.000010444
      1106.0   0.000014553
      1107.0   0.000009803
      1108.0   0.000011200
      1109.0   0.000008530
      1110.0   0.000006423
      1111.0   0.000010203
      1112.0   0.000015828
      1113.0   0.000011648
      1114.0   0.000013028
      1115.0   0.000007946
      1116.0   0.000016335
      1117.0   0.000014207
      1118.0   0.000021473
      1119.0   0.000019751
      1120.0   0.000017533
      1121.0   0.000016225
      1122.0   0.000013833
      1123.0   0.000013531
      1124.0   0.000017224
      1125.0   0.000019764
      1126.0   0.000016422
      1127.0   0.000011473
      1128.0   0.000011654
      1129.0   0.000006496
      1130.0   0.000008443
      1131.0   0.000009279
      1132.0   0.000007822
      1133.0   0.000003836
      1134.0   0.000013379
      1135.0   0.000003452
      1136.0   0.000010479
      1137.0   0.000015798
      1138.0   0.000010598
      1139.0   0.000001061
      1140.0   0.000004778
      1141.0   0.000004030
      1142.0   0.000004074
      1143.0   0.000003394
      1144.0   0.000010674
      1145.0   0.000013872
      1146.0   0.000005816
      1147.0   0.000006830
      1148.0   0.000003820
      1149.0   0.000006155
      1150.0   0.000008094
      1151.0   0.000006247
      1152.0   0.000006874
      1153.0   0.000009489
      1154.0   0.000004820
      1155.0   0.000005800
      1156.0   0.000005993
      1157.0   0.000002649
      1158.0   0.000001680
      1159.0   0.000009134
      1160.0   0.000005842
      1161.0   0.000007824
      1162.0   0.000009184
      1163.0   0.000009723
      1164.0   0.000008276
      1165.0   0.000005022
      1166.0   0.000008904
      1167.0   0.000011653
      1168.0   0.000011700
      1169.0   0.000008515
      1170.0   0.000009724
      1171.0   0.000009039
      1172.0   0.000004919
      1173.0   0.000004315
      1174.0   0.000016154
      1175.0   0.000013881
      1176.0   0.000012655
      1177.0   0.000013702
      1178.0   0.000008709
      1179.0   0.000008592
      1180.0   0.000003509
      1181.0   0.000011666
      1182.0   0.000011731
      1183.0   0.000017343
      1184.0   0.000009578
      1185.0   0.000021025
      1186.0   0.000012465
      1187.0   0.000008828
      1188.0   0.000002880
      1189.0   0.000000904
      1190.0   0.000004414
      1191.0   0.000001842
      1192.0   0.000008988
      1193.0   0.000001036
      1194.0   0.000006470
      1195.0   0.000008382
      1196.0   0.000008114
      1197.0   0.000005087
      1198.0   0.000005207
      1199.0   0.000008542
      1200.0   0.000000558
      1201.0   0.000002993
      1202.0   0.000002154
      1203.0   0.000005508
      1204.0   0.000008004
      1205.0   0.000004902
      1206.0   0.000001329
      1207.0   0.000006484
      1208.0   0.000000285
      1209.0   0.000002234
      1210.0   0.000005073
      1211.0   0.000006385
      1212.0   0.000008491
      1213.0   0.000003140
      1214.0   0.000014636
      1215.0   0.000000000
      1216.0   0.000001451
      1217.0   0.000008438
      1218.0   0.000006985
      1219.0   0.000002633
      1220.0   0.000006126
      1221.0   0.000010614
      1222.0   0.000008115
      1223.0   0.000004627
      1224.0   0.000005232
      1225.0   0.000012122
      1226.0   0.000007125
      1227.0   0.000014418
      1228.0   0.000007453
      1229.0   0.000014786
      1230.0   0.000008189
      1231.0   0.000005459
      1232.0   0.000012213
      1233.0   0.000014869
      1234.0   0.000013180
      1235.0   0.000010462
      1236.0   0.000013693
      1237.0   0.000011717
      1238.0   0.000016366
      1239.0   0.000013870
      1240.0   0.000011316
      1241.0   0.000014797
      1242.0   0.000016815
      1243.0   0.000014319
      1244.0   0.000005931
      1245.0   0.000003919
      1246.0   0.000009074
      1247.0   0.000010760
      1248.0   0.000010591
      1249.0   0.000012365
      1250.0   0.000002638
      1251.0   0.000002139
      1252.0   0.000010399
      1253.0   0.000011624
      1254.0   0.000004230
      1255.0   0.000001126
      1256.0   0.000006065
      1257.0   0.000002790
      1258.0   0.000001337
      1259.0   0.000006523
      1260.0   0.000000800
      1261.0   0.000005347
      1262.0   0.000008064
      1263.0   0.000007243
      1264.0   0.000011825
      1265.0   0.000004409
      1266.0   0.000009395
      1267.0   0.000010935
      1268.0   0.000007804
      1269.0   0.000011219
      1270.0   0.000009534
      1271.0   0.000005575
      1272.0   0.000010243
      1273.0   0.000008178
      1274.0   0.000013749
      1275.0   0.000007462
      1276.0   0.000007401
      1277.0   0.000006403
      1278.0   0.000007494
      1279.0   0.000011434
      1280.0   0.000011019
      1281.0   0.000009380
      1282.0   0.000016162
      1283.0   0.000017407
      1284.0   0.000009415
      1285.0   0.000006899
      1286.0   0.000007733
      1287.0   0.000005076
      1288.0   0.000000000
      1289.0   0.000000384
      1290.0   0.000004056
      1291.0   0.000012680
      1292.0   0.000012020
      1293.0   0.000012172
      1294.0   0.000010382
      1295.0   0.000011785
      1296.0   0.000012871
      1297.0   0.000004895
      1298.0   0.000017960
      1299.0   0.000010409
      1300.0   0.000008499
      1301.0   0.000015819
      1302.0   0.000012232
      1303.0   0.000009856
      1304.0   0.000016506
      1305.0   0.000010198
      1306.0   0.000007423
      1307.0   0.000011921
      1308.0   0.000006081
      1309.0   0.000003514
      1310.0   0.000000853
      1311.0   0.000006042
      1312.0   0.000009183
      1313.0   0.000001181
      1314.0   0.000007420
      1315.0   0.000008839
      1316.0   0.000004859
      1317.0   0.000007648
      1318.0   0.000009550
      1319.0   0.000000222
      1320.0   0.000001083
      1321.0   0.000000000
      1322.0   0.000001654
      1323.0   0.000008070
      1324.0   0.000000000
      1325.0   0.000000553
      1326.0   0.000002697
      1327.0   0.000000000
      1328.0   0.000000000
      1329.0   0.000001266
      1330.0   0.000006321
      1331.0   0.000001929
      1332.0   0.000007325
      1333.0   0.000007527
      1334.0   0.000007388
      1335.0   0.000007954
      1336.0   0.000004103
      1337.0   0.000006264
      1338.0   0.000007052
      1339.0   0.000017942
      1340.0   0.000014228
      1341.0   0.000023164
      1342.0   0.000025732
      1343.0   0.000022225
      1344.0   0.000026597
      1345.0   0.000026020
      1346.0   0.000023563
      1347.0   0.000028368
      1348.0   0.000010178
      1349.0   0.000014571
      1350.0   0.000016529
      1351.0   0.000004119
      1352.0   0.000005681
      1353.0   0.000007131
      1354.0   0.000005456
      1355.0   0.000006629
      1356.0   0.000003302
      1357.0   0.000000855
      1358.0   0.000000000
      1359.0   0.000000004
      1360.0   0.000000101
      1361.0   0.000001981
      1362.0   0.000008679
      1363.0   0.000004693
      1364.0   0.000000000
      1365.0   0.000000099
      1366.0   0.000000482
      1367.0   0.000000000
      1368.0   0.000000978
      1369.0   0.000004775
      1370.0   0.000000442
      1371.0   0.000002635
      1372.0   0.000003645
      1373.0   0.000007385
      1374.0   0.000005013
      1375.0   0.000000000
      1376.0   0.000000000
      1377.0   0.000000000
      1378.0   0.000000000
      1379.0   0.000001132
      1380.0   0.000005524
      1381.0   0.000000000
      1382.0   0.000000707
      1383.0   0.000004427
      1384.0   0.000006866
      1385.0   0.000011863
      1386.0   0.000008318
      1387.0   0.000001102
      1388.0   0.000000000
      1389.0   0.000000266
      1390.0   0.000001304
      1391.0   0.000000277
      1392.0   0.000001200
      1393.0   0.000000000
      1394.0   0.000000554
      1395.0   0.000004450
      1396.0   0.000008532
      1397.0   0.000000006
      1398.0   0.000000029
      1399.0   0.000000000
      1400.0   0.000001077
      1401.0   0.000005259
      1402.0   0.000000248
      1403.0   0.000001211
      1404.0   0.000000000
      1405.0   0.000000392
      1406.0   0.000002236
      1407.0   0.000002077
      1408.0   0.000002418
      1409.0   0.000000000
      1410.0   0.000000000
      1411.0   0.000000000
      1412.0   0.000000389
      1413.0   0.000001900
      1414.0   0.000000000
      1415.0   0.000000000
      1416.0   0.000000158
      1417.0   0.000002043
      1418.0   0.000006204
      1419.0   0.000000000
      1420.0   0.000000000
      1421.0   0.000000000
      1422.0   0.000000000
      1423.0   0.000000000
      1424.0   0.000000000
      1425.0   0.000000000
      1426.0   0.000000382
      1427.0   0.000001863
      1428.0   0.000000000
      1429.0   0.000000653
      1430.0   0.000003530
      1431.0   0.000001878
      1432.0   0.000001016
      1433.0   0.000000000
      1434.0   0.000000000
      1435.0   0.000000406
      1436.0   0.000002173
      1437.0   0.000001303
      1438.0   0.000002009
      1439.0   0.000001061
      1440.0   0.000000143
      1441.0   0.000000697
      1442.0   0.000001805
      1443.0   0.000008812
      1444.0   0.000000000
      1445.0   0.000000623
      1446.0   0.000003039
      1447.0   0.000000000
      1448.0   0.000000429
      1449.0   0.000002649
      1450.0   0.000003597
      1451.0   0.000004696
      1452.0   0.000002465
      1453.0   0.000003623
      1454.0   0.000006506
      1455.0   0.000006665
      1456.0   0.000005179
      1457.0   0.000001129
      1458.0   0.000000000
      1459.0   0.000000000
      1460.0   0.000000955
      1461.0   0.000004660
      1462.0   0.000000000
      1463.0   0.000000436
      1464.0   0.000002863
      1465.0   0.000003588
      1466.0   0.000000472
      1467.0   0.000002301
      1468.0   0.000000000
      1469.0   0.000000000
      1470.0   0.000000180
      1471.0   0.000002593
      1472.0   0.000008365
      1473.0   0.000000000
      1474.0   0.000000000
      1475.0   0.000000000
      1476.0   0.000000000
      1477.0   0.000000000
      1478.0   0.000000107
      1479.0   0.000001269
      1480.0   0.000003645
      1481.0   0.000000000
      1482.0   0.000000753
      1483.0   0.000003674
      1484.0   0.000000698
      1485.0   0.000003406
      1486.0   0.000000000
      1487.0   0.000000007
      1488.0   0.000000032
      1489.0   0.000000000
      1490.0   0.000000000
      1491.0   0.000000000
      1492.0   0.000000702
      1493.0   0.000003427
      1494.0   0.000000356
      1495.0   0.000002039
      1496.0   0.000001480
      1497.0   0.000000000
      1498.0   0.000000000
      1499.0   0.000000159
      1500.0   0.000001405
      1501.0   0.000003210
      1502.0   0.000000658
      1503.0   0.000000036
      1504.0   0.000000482
      1505.0   0.000001502
      1506.0   0.000000000
      1507.0   0.000000171
      1508.0   0.000000834
      1509.0   0.000000599
      1510.0   0.000002925
      1511.0   0.000000000
      1512.0   0.000000940
      1513.0   0.000004587
      1514.0   0.000000000
      1515.0   0.000000000
      1516.0   0.000000157
      1517.0   0.000001334
      1518.0   0.000002768
      1519.0   0.000000000
      1520.0   0.000001139
      1521.0   0.000005557
      1522.0   0.000000000
      1523.0   0.000000574
      1524.0   0.000002802
      1525.0   0.000000000
      1526.0   0.000000902
      1527.0   0.000004747
      1528.0   0.000001691
      1529.0   0.000000000
      1530.0   0.000000076
      1531.0   0.000000502
      1532.0   0.000000985
      1533.0   0.000001696
      1534.0   0.000000841
      1535.0   0.000003238
      1536.0   0.000000000
      1537.0   0.000000448
      1538.0   0.000002188
      1539.0   0.000000246
      1540.0   0.000001420
      1541.0   0.000001062
      1542.0   0.000001600
      1543.0   0.000008646
      1544.0   0.000004090
      1545.0   0.000000694
      1546.0   0.000003385
      1547.0   0.000000000
      1548.0   0.000000331
      1549.0   0.000001616
      1550.0   0.000000043
      1551.0   0.000000209
      1552.0   0.000000000
      1553.0   0.000000000
      1554.0   0.000001164
      1555.0   0.000006425
      1556.0   0.000003801
      1557.0   0.000001278
      1558.0   0.000002326
      1559.0   0.000000932
      1560.0   0.000001937
      1561.0   0.000009454
      1562.0   0.000000000
      1563.0   0.000000000
      1564.0   0.000000000
      1565.0   0.000000266
      1566.0   0.000001429
      1567.0   0.000000954
      1568.0   0.000002071
      1569.0   0.000003050
      1570.0   0.000003696
      1571.0   0.000003717
      1572.0   0.000000303
      1573.0   0.000001478
      1574.0   0.000001114
      1575.0   0.000005981
      1576.0   0.000002663
      1577.0   0.000000000
      1578.0   0.000000000
      1579.0   0.000000000
      1580.0   0.000000000
      1581.0   0.000001290
      1582.0   0.000006297
      1583.0   0.000000000
      1584.0   0.000000167
      1585.0   0.000001753
      1586.0   0.000006186
      1587.0   0.000007788
      1588.0   0.000000000
      1589.0   0.000000033
      1590.0   0.000000161
      1591.0   0.000000523
      1592.0   0.000002551
      1593.0   0.000000000
      1594.0   0.000000926
      1595.0   0.000004521
      1596.0   0.000000000
